260.243	32.503	0.140	1.769	0.320	0.275	0.000	0	1	TXAB_GPS  
260.258	30.493	0.356	0.713	1.112	0.853	0.000	0	1	LCJU_GPS  
256.778	40.172	-0.106	1.435	0.254	0.254	0.000	0	1	P044_GPS  
256.726	46.905	-0.582	1.051	0.573	0.706	0.000	0	1	MDR0_GPS  
256.671	42.739	0.241	1.092	0.253	0.239	0.000	0	1	WHN9_GPS  
256.593	34.147	-0.644	1.588	0.272	0.235	0.000	0	1	P038_GPS  
268.541	49.292	0.203	-0.325	1.097	0.910	0.000	0	1	C123_GPS  
248.537	36.909	-1.368	1.353	0.739	0.534	0.000	0	1	AZPG_GPS  
248.521	44.830	0.349	1.057	0.381	0.394	0.008	0	1	N144_GPS  
248.497	36.866	-1.934	2.006	3.300	3.750	0.066	0	1	L404_GPS  
248.486	44.598	-0.954	-2.521	0.612	0.616	-0.013	0	1	K092_GPS  
268.595	31.561	0.254	0.799	0.778	0.640	0.000	0	1	MSNA_GPS  
248.485	32.984	-1.717	2.737	0.750	0.750	0.019	0	1	AZCL_GPS  
268.599	39.695	0.965	0.347	0.766	0.714	0.000	0	1	MOHL_GPS  
248.474	44.185	-1.193	-0.428	0.357	0.379	0.000	0	1	BBID_GPS  
248.472	40.413	0.139	1.649	0.597	0.545	0.000	0	1	DCUT_GPS  
248.470	43.482	-1.435	-0.274	0.445	0.429	0.000	0	1	P359_GPS  
248.462	40.028	-1.468	1.098	0.820	0.620	0.000	0	1	POLE_GPS  
248.462	40.741	-0.184	1.508	0.670	0.530	0.000	0	1	KIMB_GPS  
268.623	39.938	0.547	1.167	0.531	0.467	0.000	0	1	SIKA_GPS  
268.638	42.878	1.862	1.042	0.731	0.590	0.000	0	1	IAEL_GPS  
248.435	41.607	-0.203	1.391	0.393	0.367	0.000	0	1	HWUT_GPS  
268.657	37.970	0.656	0.676	0.699	0.579	0.000	0	1	MOST_GPS  
248.416	42.654	-2.266	0.905	0.581	0.594	0.047	0	1	SSPR_GPS  
248.416	42.686	-1.801	1.164	0.355	0.372	0.000	0	1	IDSS_GPS  
248.408	44.902	0.531	-0.605	0.561	0.574	0.002	0	1	WFRA_GPS  
248.380	40.584	-0.556	1.290	0.351	0.346	0.000	0	1	ALUT_GPS  
268.709	43.497	0.452	1.025	0.500	0.429	0.000	0	1	NALB_GPS  
