name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,
"1949                                                                ",40.563,39.42,41.07,39.352,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"1951                                                                ",32.704,40.883,33.153,40.952,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"1953                                                                ",27.414,39.939,27.738,40.085,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"1953                                                                ",27.738,40.085,27.911,40.101,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"1957                                                                ",31.185,40.588,31.532,40.67,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"1966                                                                ",41.07,39.352,41.166,39.324,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"1966                                                                ",41.166,39.324,41.55,39.113,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"1967                                                                ",30.476,40.632,30.767,40.555,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"1967                                                                ",30.767,40.555,30.907,40.567,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"1967                                                                ",30.907,40.567,31.185,40.588,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"1967                                                                ",30.147,40.683,30.311,40.657,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"1967                                                                ",30.311,40.657,30.476,40.632,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"2sw_hokka                                                           ",140.401,42.526,140.272,42.795,45,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,1,1,0,0,1,0,15,5,0,0,0,0,1,0,0,
"2sw_hokkba                                                          ",140.272,42.795,140.076,43.273,45,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,1,1,0,0,1,0,15,5,0,0,0,0,1,0,0,
"ALB_close                                                           ",48.836,36.983,49.505,36.736,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"ALB_close2                                                          ",56.6,37.469,56.743,37.368,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"ALPC_fault_1                                                        ",168.865,-44,169.465,-43.717,55,100,0,0,0,0,0,0,0,0,25,5,0,1,0,-26.5,8.1,0,0.9,1.1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"ALPC_fault_2                                                        ",169.465,-43.717,169.907,-43.53,55,100,0,0,0,0,0,0,0,0,25,5,0,1,0,-27,7.5,0,5.8,3.7,0,0,1,0,0,5,0,0,0,0,1,0,0,
"ALPC_fault_3                                                        ",169.907,-43.53,170.349,-43.3,55,100,0,0,0,0,0,0,0,0,25,5,0,1,0,-28,9,0,5.5,1.5,0,0,1,0,0,5,0,0,0,0,1,0,0,
"ALPC_fault_4                                                        ",170.349,-43.3,170.768,-43.097,55,100,0,0,0,0,0,0,0,0,25,5,0,1,0,-29,6,0,5.5,2.5,0,0,1,0,0,5,0,0,0,0,1,0,0,
"ALPC_fault_5                                                        ",170.768,-43.097,171.145,-42.893,55,100,0,0,0,0,0,0,0,0,25,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"ALPC_fault_6                                                        ",171.145,-42.893,171.742,-42.593,55,100,0,0,0,0,0,0,0,0,25,5,0,1,0,-10.2,3.6,0,5.9,1.5,0,0,1,0,0,5,0,0,0,0,1,0,0,
"ALPC_fault_7                                                        ",171.742,-42.593,171.889,-42.519,55,100,0,0,0,0,0,0,0,0,25,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
