lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,
257.938,36.338,0,0,"TXSF_GPS  ",0.291,1.211,1.06,0.695,1,0,1,0,0,0,
259.183,46.821,0,0,"BSMK_GPS  ",0.66,0.726,0.279,0.294,1,0,1,0,0,0,
259.235,41.136,0,0,"NENP_GPS  ",-0.016,1.229,0.466,0.409,1,0,1,0,0,0,
257.82,37.775,0,0,"GDAC_GPS  ",0.078,1.989,0.2,0.197,1,0,1,0,0,0,
257.768,31.132,0,0,"TXMC_GPS  ",1.316,0.729,1.077,0.84,1,0,1,0,0,0,
259.347,40.087,0,0,"RWDN_GPS  ",0.073,1.524,0.37,0.359,1,0,1,0,0,0,
257.686,31.873,0,0,"TXO0_GPS  ",-0.239,0.616,0.278,0.265,1,0,1,0,0,0,
257.671,35.688,0,0,"TXCG_GPS  ",0.448,1.658,0.506,0.484,1,0,1,0,0,0,
259.422,40.199,0,0,"NEMC_GPS  ",-0.992,1.636,0.992,0.707,1,0,1,0,0,0,
257.642,31.423,0,0,"TXCE_GPS  ",-0.09,1.182,1.016,0.734,1,0,1,0,0,0,
257.616,52.842,0,0,"C291_GPS  ",0.495,-0.665,0.251,0.536,1,0,1,0,0,0,
259.471,34.724,0,0,"TXME_GPS  ",-0.417,1.591,0.649,0.497,1,0,1,0,0,0,
257.596,51.219,0,0,"C289_GPS  ",0.467,-0.549,0.833,0.45,1,0,1,0,0,0,
257.593,34.846,0,0,"TXHR_GPS  ",-1.215,0.733,0.855,0.651,1,0,1,0,0,0,
257.591,30.153,0,0,"TXSN_GPS  ",-0.084,1.59,0.353,0.265,1,0,1,0,0,0,
257.576,35.244,0,0,"TXVG_GPS  ",-0.105,1.226,0.582,1.363,1,0,1,0,0,0,
259.523,28.708,0,0,"TXEP_GPS  ",0.186,1.861,0.869,0.861,1,0,1,0,0,0,
259.527,31.414,0,0,"TXSA_GPS  ",-0.37,1.842,0.252,0.326,1,0,1,0,0,0,
257.522,-74.43,0,0,"BAC0_GPS  ",-4.415,15.177,1.843,1.965,1,0,1,0,0,0,
259.587,20.591,0,0,"UQRO_GPS  ",2.192,2.482,0.708,0.649,1,0,1,0,0,0,
257.488,34.825,0,0,"SUM0_GPS  ",-0.296,1.507,0.25,0.271,1,0,1,0,0,0,
257.461,36.078,0,0,"TXDL_GPS  ",-0.455,1.289,0.755,0.874,1,0,1,0,0,0,
259.622,35.92,0,0,"TXCI_GPS  ",0.864,1.193,1.13,0.972,1,0,1,0,0,0,
257.456,32.308,0,0,"TXAD_GPS  ",0.724,1.055,0.995,0.715,1,0,1,0,0,0,
259.687,25.716,0,0,"MTY2_GPS  ",-0.546,2.129,0.333,0.331,1,0,1,0,0,0,
259.71,34.012,0,0,"TXPD_GPS  ",-0.363,1.186,0.615,0.417,1,0,1,0,0,0,
259.722,34.46,0,0,"TXCH_GPS  ",0.447,1.662,0.301,0.273,1,0,1,0,0,0,
257.313,38.071,0,0,"P040_GPS  ",-0.218,1.626,0.296,0.263,1,0,1,0,0,0,
259.781,35.226,0,0,"TXSH_GPS  ",0.405,2.395,0.62,0.498,1,0,1,0,0,0,
259.798,34.85,0,0,"TXWL_GPS  ",-0.028,-1.233,0.606,0.534,1,0,1,0,0,0,
257.133,30.894,0,0,"TXFS_GPS  ",0.165,0.894,1.019,0.679,1,0,1,0,0,0,
257.106,31.558,0,0,"TXMH_GPS  ",0.743,0.47,0.888,0.678,1,0,1,0,0,0,
260.032,31.761,0,0,"TXBI_GPS  ",0.577,0.541,0.94,0.738,1,0,1,0,0,0,
257.023,49.679,0,0,"C285_GPS  ",0.383,0.638,0.299,0.24,1,0,1,0,0,0,
260.089,49.886,0,0,"C269_GPS  ",-0.121,0.096,0.471,0.287,1,0,1,0,0,0,
260.095,40.306,0,0,"NEAP_GPS  ",0.546,0.722,0.993,0.885,1,0,1,0,0,0,
260.143,16.822,0,0,"ACAP_GPS  ",14.857,18.241,1.283,1.132,0,0,1,0,0,0,
260.15,28.535,0,0,"TXCS_GPS  ",-0.088,1.727,0.897,0.757,1,0,1,0,0,0,
260.15,28.942,0,0,"TXLP_GPS  ",1.252,0.675,0.896,0.781,1,0,1,0,0,0,
260.173,29.201,0,0,"TXUV_GPS  ",0.011,1.174,0.53,0.665,1,0,1,0,0,0,
256.891,31.843,0,0,"TXKM_GPS  ",0.336,1.316,0.978,0.723,1,0,1,0,0,0,
260.199,30.479,0,0,"JCT1_GPS  ",-0.321,1.753,0.308,0.301,1,0,1,0,0,0,
260.223,30.5,0,0,"TXJN_GPS  ",-0.73,1.464,1.589,0.736,1,0,1,0,0,0,
256.846,36.448,0,0,"P039_GPS  ",-0.374,1.766,0.268,0.232,1,0,1,0,0,0,
260.239,29.739,0,0,"TXLE_GPS  ",0.898,1.342,1.132,0.747,1,0,1,0,0,0,
260.243,32.503,0,0,"TXAB_GPS  ",0.14,1.769,0.32,0.275,1,0,1,0,0,0,
260.258,30.493,0,0,"LCJU_GPS  ",0.356,0.713,1.112,0.853,1,0,1,0,0,0,
256.778,40.172,0,0,"P044_GPS  ",-0.106,1.435,0.254,0.254,1,0,1,0,0,0,
256.726,46.905,0,0,"MDR0_GPS  ",-0.582,1.051,0.573,0.706,1,0,1,0,0,0,
256.671,42.739,0,0,"WHN9_GPS  ",0.241,1.092,0.253,0.239,1,0,1,0,0,0,
256.593,34.147,0,0,"P038_GPS  ",-0.644,1.588,0.272,0.235,1,0,1,0,0,0,
268.541,49.292,0,0,"C123_GPS  ",0.203,-0.325,1.097,0.91,1,0,1,0,0,0,
248.537,36.909,0,0,"AZPG_GPS  ",-1.368,1.353,0.739,0.534,1,0,1,0,0,0,
248.521,44.83,0.008,0,"N144_GPS  ",0.349,1.057,0.381,0.394,1,0,1,0,0,0,
248.497,36.866,0.066,0,"L404_GPS  ",-1.934,2.006,3.3,3.75,1,0,1,0,0,0,
248.486,44.598,-0.013,0,"K092_GPS  ",-0.954,-2.521,0.612,0.616,1,0,1,0,0,0,
268.595,31.561,0,0,"MSNA_GPS  ",0.254,0.799,0.778,0.64,1,0,1,0,0,0,
248.485,32.984,0.019,0,"AZCL_GPS  ",-1.717,2.737,0.75,0.75,1,0,1,0,0,0,
268.599,39.695,0,0,"MOHL_GPS  ",0.965,0.347,0.766,0.714,1,0,1,0,0,0,
248.474,44.185,0,0,"BBID_GPS  ",-1.193,-0.428,0.357,0.379,1,0,1,0,0,0,
248.472,40.413,0,0,"DCUT_GPS  ",0.139,1.649,0.597,0.545,1,0,1,0,0,0,
248.47,43.482,0,0,"P359_GPS  ",-1.435,-0.274,0.445,0.429,1,0,1,0,0,0,
248.462,40.028,0,0,"POLE_GPS  ",-1.468,1.098,0.82,0.62,1,0,1,0,0,0,
248.462,40.741,0,0,"KIMB_GPS  ",-0.184,1.508,0.67,0.53,1,0,1,0,0,0,
268.623,39.938,0,0,"SIKA_GPS  ",0.547,1.167,0.531,0.467,1,0,1,0,0,0,
268.638,42.878,0,0,"IAEL_GPS  ",1.862,1.042,0.731,0.59,1,0,1,0,0,0,
248.435,41.607,0,0,"HWUT_GPS  ",-0.203,1.391,0.393,0.367,1,0,1,0,0,0,
268.657,37.97,0,0,"MOST_GPS  ",0.656,0.676,0.699,0.579,1,0,1,0,0,0,
248.416,42.654,0.047,0,"SSPR_GPS  ",-2.266,0.905,0.581,0.594,1,0,1,0,0,0,
248.416,42.686,0,0,"IDSS_GPS  ",-1.801,1.164,0.355,0.372,1,0,1,0,0,0,
248.408,44.902,0.002,0,"WFRA_GPS  ",0.531,-0.605,0.561,0.574,1,0,1,0,0,0,
248.38,40.584,0,0,"ALUT_GPS  ",-0.556,1.29,0.351,0.346,1,0,1,0,0,0,
268.709,43.497,0,0,"NALB_GPS  ",0.452,1.025,0.5,0.429,1,0,1,0,0,0,
248.37,45.597,0,0,"NOMT_GPS  ",1.109,0.815,0.309,0.312,1,0,1,0,0,0,
248.366,40.016,0,0,"MPUT_GPS  ",-0.568,1.496,0.383,0.355,1,0,1,0,0,0,
248.365,35.215,-0.03,0,"FLAG_GPS  ",-1.005,2.413,0.87,1.03,1,0,1,0,0,0,
