lon,lat,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,
240.521,33.232,DRAO_PBO,-31.04,35.542,0.89,0.91,1,0,1,
243.307,33.234,P293_PBO,-26.733,27.363,1.01,1.1,1,0,1,
242.928,33.236,P033_PBO,-27.279,26.878,0.2,0.9,1,0,1,
243.329,33.24,RG17_PBO,-26.078,24.969,0.4,0.3,1,0,1,
240.476,33.248,POTB_GPS,-31.784,34.473,0.416,0.404,1,0,1,
244.571,33.248,3188_GPS,-4.873,1.94,0.4,0.4,1,0,1,
243.678,33.26,P054_PBO,-23.476,22.06,0.3,0.3,1,0,1,
244.479,33.275,OVRU_GPS,-6.872,1.742,0.3,0.5,1,0,1,
244.022,33.292,HDIL_PBO,-13.573,16.453,0.2,0.2,1,0,1,
241.666,33.312,P089_PBO,-29.881,32.007,0.2,0.2,1,0,1,
242.841,33.332,P514_PBO,-26.545,29.301,1.26,1.44,1,0,1,
242.751,33.355,RG01_PBO,-27.606,27.439,0.626,0.654,1,0,1,
243.14,33.357,GR8V_PBO,-25.496,27.04,1,1.02,1,0,1,
242.435,33.375,HUNT_PBO,-27.443,29.967,0.97,1.02,1,0,1,
243.379,33.376,P120_PBO,-24.473,22.967,0.4,0.4,1,0,1,
243.297,33.382,P297_PBO,-25.094,27.284,0.96,1,1,0,1,
244.212,33.39,VNDP_PBO,-11.776,9.899,0.86,0.88,1,0,1,
241.595,33.407,P449_PBO,-29.362,33.79,0.86,0.92,1,0,1,
244.248,33.412,P302_PBO,-10.491,8.198,1.19,1.22,1,0,1,
276.527,33.415,WILD_GPS,-3.377,-1.22,1.9,1.8,1,0,1,
244.313,33.424,THU3_PBO,-5.868,3.346,1,0.9,1,0,1,
244.23,33.427,P252_PBO,-8.627,8.339,1.3,1.27,1,0,1,
244.322,33.427,P249_PBO,-6.999,3.485,0.92,0.94,1,0,1,
244.167,33.429,P174_PBO,-11.445,9.451,0.97,0.98,1,0,1,
242.855,33.43,MIDA_PBO,-27.159,27.601,0.98,1.04,1,0,1,
242.81,33.44,P031_PBO,-27.273,27.281,0.4,0.4,1,0,1,
243.939,33.441,P140_PBO,-12.295,16.929,1.05,1.05,1,0,1,
244.217,33.441,P278_PBO,-10.523,8.679,1.07,1.12,1,0,1,
242.365,33.444,GR8V_PBO,-28.723,31.06,1.02,1.04,1,0,1,
241.517,33.446,P109_PBO,-29.873,32.636,0.52,0.55,1,0,1,
242.291,33.464,CARH_PBO,-28.115,30.922,0.95,0.98,1,0,1,
243.068,33.468,LAND_PBO,-24.325,27.072,1.16,1.25,1,0,1,
242.32,33.469,CAND_PBO,-27.775,29.841,0.94,0.96,1,0,1,
240.959,33.472,P543_PBO,-31.318,35.145,0.93,0.98,1,0,1,
240.97,33.48,P084_PBO,-30.978,33.823,0.2,0.3,1,0,1,
243.164,33.484,POMM_PBO,-24.013,27.239,1.08,1.14,1,0,1,
243.217,33.493,RG16_PBO,-23.769,22.971,0.8,0.5,1,0,1,
242.887,33.503,P053_PBO,-24.97,24.879,0.4,0.4,1,0,1,
244.086,33.503,P444_PBO,-12.313,7.904,1.06,1.02,1,0,1,
242.811,33.505,LAND_PBO,-25.598,28.232,1.16,1.15,1,0,1,
244.234,33.516,GODE_PBO,-8.565,4.148,0.5,0.5,1,0,1,
243.574,33.523,RG08_PBO,-18.172,17.873,0.607,0.62,1,0,1,
243.411,33.527,USLO_PBO,-20.219,23.959,1.01,1.05,1,0,1,
243.299,33.543,P306_PBO,-21.691,24.954,0.97,0.99,1,0,1,
243.265,33.545,HOGS_PBO,-21.87,25.815,1.01,1.06,1,0,1,
243.283,33.55,P513_PBO,-21.829,25.884,0.98,1.02,1,0,1,
243.387,33.55,USLO_PBO,-19.132,23.64,1.04,1.08,1,0,1,
242.339,33.553,TSWY_PBO,-27.57,28.391,0.2,0.2,1,0,1,
243.426,33.553,P445_PBO,-18.982,22.159,0.9,0.93,1,0,1,
242.284,33.554,MNMC_PBO,-28.241,30.663,1.08,0.99,1,0,1,
243.311,33.555,P287_PBO,-20.959,25.523,1.15,1.18,1,0,1,
243.338,33.556,P303_PBO,-20.779,24.892,0.89,0.91,1,0,1,
243.366,33.557,P299_PBO,-20.55,24.921,1.05,1.08,1,0,1,
243.429,33.561,P301_PBO,-18.77,20.279,1.44,1.67,1,0,1,
242.459,33.562,LKWY_PBO,-26.47,26.289,0.5,0.6,1,0,1,
243.442,33.562,P289_PBO,-17.12,22.638,1.25,1.33,1,0,1,
243.421,33.564,CRBT_PBO,-20.039,22.209,1.24,1.27,1,0,1,
243.397,33.565,SC00_PBO,-19.758,23.49,1.16,1.2,1,0,1,
243.404,33.568,P290_PBO,-18.738,22.95,1.05,1.08,1,0,1,
243.483,33.571,MEE1_PBO,-17.989,22.267,1.01,1.05,1,0,1,
243.502,33.571,MEE2_PBO,-16.63,19.896,1.17,1.21,1,0,1,
243.553,33.574,P525_PBO,-16.56,18.434,1.12,1.14,1,0,1,
243.773,33.575,P039_PBO,-15.164,14.858,0.4,0.4,1,0,1,
242.935,33.578,P032_PBO,-25.467,25.678,0.2,0.3,1,0,1,
243.516,33.581,P148_PBO,-16.707,19.395,1.02,1.07,1,0,1,
243.57,33.584,GOBS_PBO,-15.618,19.483,0.96,1,1,0,1,
243.562,33.599,P284_PBO,-16.764,21.084,1.17,1.18,1,0,1,
242.184,33.602,P294_PBO,-28.326,30.807,1.24,1.26,1,0,1,
243.523,33.603,P295_PBO,-16.332,20.605,1.18,1.15,1,0,1,
243.541,33.609,P523_PBO,-16.191,18.364,0.95,0.92,1,0,1,
243.58,33.609,P065_PBO,-16.452,21.363,1.65,1.59,1,0,1,
