lon,lat,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,
77.63,30.28,QASI_GPS,26.38,24.124,1.42,1.1,0,0,1,
77.86,30.33,SABA_GPS,24.922,25.738,0.9,0.64,0,0,1,
77.87,30.15,MOND_GPS,26.425,29.328,1.46,1.22,0,0,1,
77.905,37.257,KELI_GPS,15.812,10.62,2.65,2.25,0,0,1,
77.97,30.29,WILD_GPS,24.366,26.82,0.88,0.68,0,0,1,
77.98,30.1,RAJA_GPS,25.904,28.181,1.28,0.92,0,0,1,
78.01,30.33,WIHG_GPS,25.708,24.461,1.02,0.76,0,0,1,
78.02,30.46,HATI_GPS,25.041,21.711,0.86,0.62,0,0,1,
78.036,39.714,KALA_GPS,17.293,5.908,2.58,2.22,0,0,1,
78.037,39.714,I075_GPS,15.534,10.322,1.2,1.1,0,0,1,
78.12,30.45,BATA_GPS,27.155,21.683,1.38,1.2,0,0,1,
78.16,30.34,DHOU_GPS,27.121,24.624,1.1,0.88,0,0,1,
78.19,30.19,DOIW_GPS,23.983,27.535,0.92,0.68,0,0,1,
78.246,37.559,I086_GPS,16.858,12.326,1.4,1.1,0,0,1,
78.365,30.404,CHAM_GPS,23.96,22.418,2.4,1.47,0,0,1,
78.37,30.39,CHMB_GPS,18.845,26.588,1.38,0.96,0,0,1,
78.436,39.949,SANC_GPS,14.737,8.961,1.37,1.06,0,0,1,
78.451,40.941,AKQI_GPS,13.836,7.662,2.55,2.22,0,0,1,
78.54,39.776,I076_GPS,15.549,7.232,1.6,1.2,0,0,1,
78.55,17.42,HYDE_GPS,35.128,27.594,0.9,0.5,0,0,1,
78.62,30.81,BHAT_GPS,21.41,17.244,1.7,1.34,0,0,1,
78.676,30.997,SUKI_GPS,18.246,17.225,2.35,1.46,0,0,1,
78.68,29.85,LANS_GPS,25.221,26.695,1.52,0.92,0,0,1,
78.75,31.04,HARS_GPS,19.853,18.657,1.86,1.46,0,0,1,
78.966,39.877,AKTA_GPS,19.585,5.413,2.66,2.26,0,0,1,
