other1,other2,other3,other4,other5,other6,name,interior_lon,interior_lat,euler_lon,euler_lon_sig,euler_lat,euler_lat_sig,rotation_rate,rotation_rate_sig,rotation_flag,apriori_flag,
0,0,0,0,0,0,"DeathValley             ",242.924,36.378,0,1,0,1,0,0,0,0,
0,0,0,0,0,0,"Denali                  ",204.436,59.977,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Doruneh                 ",54.336,35.418,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"EAR1                    ",33.793,-2.416,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"EAR2                    ",38.4,-15.071,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"EBET                    ",355.87,36.847,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"EFSB                    ",120.333,22.36,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"EJAV                    ",108.984,-8.411,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"EKSH                    ",120.568,23.247,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"ELBC_karak              ",46.357,39.652,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"ENIS                    ",177.674,-38.216,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"EOre                    ",240.331,44.817,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"ESIL                    ",170.057,-43.841,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"EWas                    ",242.238,48.616,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"East_china_sea          ",121.621,34.271,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"East_sula               ",122.412,-1.911,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Epiro                   ",19.644,40.429,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Eurasia                 ",113.861,59.314,0,1,0,1,0,0,0,0,
0,0,0,0,0,0,"FIJI                    ",178.324,-17.23,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"FIOR                    ",166.607,-45.742,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"FORE                    ",167.518,-44.538,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Foreland                ",218.061,59.612,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"GONA                    ",284.304,18.82,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"GOOD                    ",150.539,-9.942,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Gegharkunik             ",45.61,39.594,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Gobi_TienShan           ",82.013,44.533,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Greenville              ",238.32,37.547,0,0,0,0,0,0,0,0,
