lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,
242.895,32.889,-0.013,4,"P029_PBO",-28.691,27.179,0.3,0.3,1,0,1,0,0,0,
244.706,32.891,-0.002,1,"WAUC_GPS",-1.585,3.137,0.6,0.6,1,0,1,0,0,0,
243.578,32.892,-0.077,4,"P280_PBO",-27.929,27.943,0.79,0.81,1,0,1,0,0,0,
244.43,32.898,-0.003,21,"DEER_GPS",-15.286,21.843,0.5,0.5,1,0,1,0,0,0,
243.069,32.912,-0.043,4,"P305_PBO",-28.23,29.862,1.03,1.14,1,0,1,0,0,0,
241.512,32.914,-0.054,3,"P127_PBO",-31.659,33.573,0.97,0.99,1,0,1,0,0,0,
243.429,32.914,-0.071,4,"P282_PBO",-29.609,28.779,1.08,1.18,1,0,1,0,0,0,
244.594,32.917,-0.063,1,"P304_PBO",-3.299,4.535,0.95,0.91,1,0,1,0,0,0,
241.481,32.927,-0.071,3,"P145_PBO",-30.585,35.334,0.88,0.91,1,0,1,0,0,0,
245.797,32.939,-0.044,1,"P281_PBO",-1.616,2.961,1.04,0.96,1,0,1,0,0,0,
244.239,32.951,-0.062,21,"P529_PBO",-22.811,25.678,0.92,0.89,1,0,1,0,0,0,
243.651,32.976,-0.012,4,"P070_PBO",-27.186,25.261,0.3,0.3,1,0,1,0,0,0,
244.512,32.98,0,1,"KMED_GPS",-6.783,5.041,0.6,0.7,1,0,1,0,0,0,
244.578,32.982,0.001,1,"BAMA_GPS",-4.682,3.94,0.5,0.6,1,0,1,0,0,0,
243.915,33.03,-0.017,16,"KSU1_PBO",-23.913,24.402,0.57,0.574,1,0,1,0,0,0,
244.499,33.038,-0.037,1,"TBLP_PBO",-8.675,2.169,1.8,1.72,1,0,1,0,0,0,
244.372,33.045,-0.004,21,"STJO_PBO",-11.281,15.244,0.4,0.4,1,0,1,0,0,0,
