lon,lat,east_vel,north_vel,east_sig,north_sig,correlation,other1,tog,name,up_vel,up_sig,east_adjust,north_adjust,up_adjust
244.578,32.982,-4.682,3.94,0.5,0.6,0.001,1,true,BAMA_GPS,0,1,0,0,0
243.915,33.03,-23.913,24.402,0.57,0.574,-0.017,16,true,KSU1_PBO,0,1,0,0,0
244.499,33.038,-8.675,2.169,1.8,1.72,-0.037,1,true,TBLP_PBO,0,1,0,0,0
244.372,33.045,-11.281,15.244,0.4,0.4,-0.004,21,true,STJO_PBO,0,1,0,0,0
245.173,33.051,-3.478,2.626,0.3,0.2,-0.017,1,true,GS09_GPS,0,1,0,0,0
243.431,33.059,-26.984,26.066,0.3,0.3,-0.012,4,true,RG23_PBO,0,1,0,0,0
244.265,33.07,-14.236,18.442,0.596,0.577,-0.005,21,true,LOZ1_PBO,0,1,0,0,0
243.402,33.074,-27.797,27.88,1.2,1.74,-0.024,4,true,MIG1_PBO,0,1,0,0,0
244.49,33.081,-6.579,4.042,0.8,0.8,-0.003,1,true,TROP_GPS,0,1,0,0,0
242.723,33.13,-29.084,30.186,1.01,1.11,-0.088,4,true,SHIN_PBO,0,1,0,0,0
244.657,33.144,-3.976,1.538,0.6,0.6,-0.007,1,true,GS01_GPS,0,1,0,0,0
243.753,33.16,-23.474,24.356,0.94,1.03,-0.054,16,true,P528_PBO,0,1,0,0,0
244.112,33.177,-15.159,16.273,0.94,0.97,-0.066,21,true,P524_PBO,0,1,0,0,0
244.138,33.179,-15.889,14.492,1.56,1.51,0.004,21,true,LOWS_PBO,0,1,0,0,0
244.593,33.196,-3.147,3.095,1.05,0.98,-0.053,1,true,LOWS_PBO,0,1,0,0,0
244.388,33.2,-8.963,0.209,0.602,0.644,-0.002,1,true,KELY_PBO,0,1,0,0,0
243.591,33.21,-26.278,24.363,1.2,1.2,0.001,16,true,RG24_PBO,0,1,0,0,0
243.475,33.211,-24.873,26.527,1.08,1.1,-0.039,16,true,P146_PBO,0,1,0,0,0
244.481,33.231,-5.045,1.399,1.04,1.03,-0.065,1,true,P527_PBO,0,1,0,0,0
240.521,33.232,-31.04,35.542,0.89,0.91,-0.072,3,true,DRAO_PBO,0,1,0,0,0
243.307,33.234,-26.733,27.363,1.01,1.1,-0.101,4,true,P293_PBO,0,1,0,0,0
242.928,33.236,-27.279,26.878,0.2,0.9,-0.003,4,true,P033_PBO,0,1,0,0,0
243.329,33.24,-26.078,24.969,0.4,0.3,-0.008,4,true,RG17_PBO,0,1,0,0,0
240.476,33.248,-31.784,34.473,0.416,0.404,0.005,3,true,POTB_GPS,0,1,0,0,0
244.571,33.248,-4.873,1.94,0.4,0.4,-0.002,1,true,3188_GPS,0,1,0,0,0
243.678,33.26,-23.476,22.06,0.3,0.3,-0.007,16,true,P054_PBO,0,1,0,0,0
244.479,33.275,-6.872,1.742,0.3,0.5,-0.006,1,true,OVRU_GPS,0,1,0,0,0
244.022,33.292,-13.573,16.453,0.2,0.2,-0.012,21,true,HDIL_PBO,0,1,0,0,0
241.666,33.312,-29.881,32.007,0.2,0.2,-0.014,3,true,P089_PBO,0,1,0,0,0
242.841,33.332,-26.545,29.301,1.26,1.44,-0.054,4,true,P514_PBO,0,1,0,0,0
242.751,33.355,-27.606,27.439,0.626,0.654,-0.013,4,true,RG01_PBO,0,1,0,0,0
243.14,33.357,-25.496,27.04,1,1.02,-0.047,4,true,GR8V_PBO,0,1,0,0,0
242.435,33.375,-27.443,29.967,0.97,1.02,-0.059,4,true,HUNT_PBO,0,1,0,0,0
243.379,33.376,-24.473,22.967,0.4,0.4,-0.005,16,true,P120_PBO,0,1,0,0,0
243.297,33.382,-25.094,27.284,0.96,1,-0.067,16,true,P297_PBO,0,1,0,0,0
244.212,33.39,-11.776,9.899,0.86,0.88,-0.06,21,true,VNDP_PBO,0,1,0,0,0
241.595,33.407,-29.362,33.79,0.86,0.92,-0.061,3,true,P449_PBO,0,1,0,0,0
244.248,33.412,-10.491,8.198,1.19,1.22,-0.027,6,true,P302_PBO,0,1,0,0,0
276.527,33.415,-3.377,-1.22,1.9,1.8,0.011,1,true,WILD_GPS,0,1,0,0,0
244.313,33.424,-5.868,3.346,1,0.9,0,1,true,THU3_PBO,0,1,0,0,0
244.23,33.427,-8.627,8.339,1.3,1.27,0.008,6,true,P252_PBO,0,1,0,0,0
244.322,33.427,-6.999,3.485,0.92,0.94,-0.046,1,true,P249_PBO,0,1,0,0,0
244.167,33.429,-11.445,9.451,0.97,0.98,-0.038,21,true,P174_PBO,0,1,0,0,0
242.855,33.43,-27.159,27.601,0.98,1.04,-0.05,4,true,MIDA_PBO,0,1,0,0,0
242.81,33.44,-27.273,27.281,0.4,0.4,-0.004,4,true,P031_PBO,0,1,0,0,0
243.939,33.441,-12.295,16.929,1.05,1.05,-0.03,21,true,P140_PBO,0,1,0,0,0
244.217,33.441,-10.523,8.679,1.07,1.12,-0.047,6,true,P278_PBO,0,1,0,0,0
242.365,33.444,-28.723,31.06,1.02,1.04,-0.047,4,true,GR8V_PBO,0,1,0,0,0
241.517,33.446,-29.873,32.636,0.52,0.55,-0.014,3,true,P109_PBO,0,1,0,0,0
242.291,33.464,-28.115,30.922,0.95,0.98,-0.069,4,true,CARH_PBO,0,1,0,0,0
243.068,33.468,-24.325,27.072,1.16,1.25,-0.047,4,true,LAND_PBO,0,1,0,0,0
242.32,33.469,-27.775,29.841,0.94,0.96,-0.061,4,true,CAND_PBO,0,1,0,0,0
240.959,33.472,-31.318,35.145,0.93,0.98,-0.061,3,true,P543_PBO,0,1,0,0,0
240.97,33.48,-30.978,33.823,0.2,0.3,-0.015,3,true,P084_PBO,0,1,0,0,0
243.164,33.484,-24.013,27.239,1.08,1.14,-0.087,16,true,POMM_PBO,0,1,0,0,0
243.217,33.493,-23.769,22.971,0.8,0.5,-0.003,16,true,RG16_PBO,0,1,0,0,0
242.887,33.503,-24.97,24.879,0.4,0.4,-0.008,4,true,P053_PBO,0,1,0,0,0
244.086,33.503,-12.313,7.904,1.06,1.02,-0.049,6,true,P444_PBO,0,1,0,0,0
242.811,33.505,-25.598,28.232,1.16,1.15,-0.028,4,true,LAND_PBO,0,1,0,0,0
244.234,33.516,-8.565,4.148,0.5,0.5,0.004,1,true,GODE_PBO,0,1,0,0,0
243.574,33.523,-18.172,17.873,0.607,0.62,0.004,21,true,RG08_PBO,0,1,0,0,0
243.411,33.527,-20.219,23.959,1.01,1.05,-0.042,16,true,USLO_PBO,0,1,0,0,0
