lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,depth,x,y,z,block_label,model_east_vel,model_north_vel,model_east_vel_residual,model_east_vel_rotation,model_north_vel_rotation,model_east_elastic_segment,model_north_elastic_segment,model_east_vel_tde,model_north_vel_tde,model_east_vel_block_strain_rate,model_north_vel_block_strain_rate
133.6480,34.0680,0.0110,0,950428_G,2.6760,7.3840,2.3190,2.4980,1,0,1,0,0,0,0.0000,-3640680.6721,3816683.6587,3566892.4227,10,4.9569,5.7916,-1.5924,13.2936,-2.4229,1.9679,1.3324,6.3687,-9.5468,0.0000,0.0000
133.6560,33.7670,0.0030,0,950438_G,-5.2990,10.2370,2.4940,2.4310,1,0,1,0,0,0,0.0000,-3654098.9049,3829679.7919,3539133.4175,13,-4.8134,12.8462,2.6092,6.4506,-1.7335,-1.1065,-1.1644,12.3705,-13.4153,0.0000,0.0000
133.6810,33.9370,0.0030,0,950419_G,-1.0440,9.0650,2.3580,2.5570,1,0,1,0,0,0,0.0000,-3648501.1749,3820474.0335,3554823.3145,13,-4.4809,7.3493,-1.7157,5.8214,-1.6582,1.7102,1.8587,8.5920,-10.8662,0.0000,0.0000
133.6990,35.4900,0.0070,0,940073_G,13.5550,-1.1380,2.4310,2.3930,1,0,1,0,0,0,0.0000,-3581801.1627,3748271.7877,3696689.1264,5,10.9958,0.7023,1.8403,12.7712,-1.2782,0.1505,0.0634,1.6250,-2.0439,0.0000,0.0000
133.7150,34.2170,0.0100,0,950427_G,6.7780,5.7580,2.2710,2.3320,1,0,1,0,0,0,0.0000,-3638718.7050,3805706.4057,3580597.2129,10,7.4540,4.7500,-1.0080,13.1622,-2.3833,0.9335,0.9083,4.7747,-8.0415,0.0000,0.0000
133.7340,35.0030,0.0080,0,950392_G,12.3370,-0.4190,2.1430,2.1490,1,0,1,0,0,0,0.0000,-3605682.1101,3768650.9246,3652489.3143,10,10.2144,0.8864,1.3054,12.4759,-2.3720,0.2406,0.1371,2.0208,-3.3955,0.0000,0.0000
133.7570,34.5790,0.0040,0,960766_G,10.6970,2.4400,2.1640,2.2740,1,0,1,0,0,0,0.0000,-3625789.0989,3786622.4690,3613792.3500,10,9.7058,2.8928,0.4528,12.8457,-2.3584,0.3722,0.3574,2.7677,-5.6087,0.0000,0.0000
133.7810,34.3830,-0.0020,0,960677_G,9.8300,2.7770,2.2230,2.4590,1,0,1,0,0,0,0.0000,-3635907.1469,3794006.6046,3595837.1161,10,8.9030,3.8418,1.0648,13.0160,-2.3442,0.5415,0.6066,3.5715,-6.7927,0.0000,0.0000
133.7920,35.2640,0.0090,0,950389_G,12.6410,-1.4410,2.5010,2.4380,1,0,1,0,0,0,0.0000,-3597943.4705,3752949.5607,3676210.5271,10,10.2757,0.1018,1.5428,12.2463,-2.3377,0.1943,0.0876,1.7762,-2.5271,0.0000,0.0000
133.7970,34.4390,0.0020,0,950397_G,10.3860,6.1870,2.5160,2.4440,1,0,1,0,0,0,0.0000,-3634532.3400,3790452.5440,3600971.4859,10,9.2103,3.5433,-2.6437,12.9669,-2.3348,0.4776,0.5339,3.2790,-6.4120,0.0000,0.0000
