name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,length,x1,y1,z1,x2,y2,z2,mid_lon_plate_carree,mid_lat_plate_carree,mid_lon,mid_lat,mid_x,mid_y,mid_z,centroid_x,centroid_y,centroid_z,centroid_lon,centroid_lat,west_labels,east_labels,model_strike_slip_rate,model_dip_slip_rate,model_tensile_slip_rate,model_strike_slip_rate_uncertainty,model_dip_slip_rate_uncertainty,model_tensile_slip_rate_uncertainty
amur1                       ,124.8630,57.1310,139.8500,54.0250,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,1003982.8141,-2859040.5273,2411802.9785,5153003.5045,-1975356.7889,2835507.9897,5348103.5385,132.3565,55.5780,132.6540,55.8071,-2424602.1233,2631750.0919,5266834.6717,-2424602.1233,2631750.0919,0.0000,132.6540,55.8071,5,4,-4.9318,0.0000,1.1358,0.6478,0.6478,0.6478
amur10a                     ,117.6450,39.7630,120.9710,41.1290,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,320317.3188,-2271070.5439,4335859.7017,4072703.1187,-2468120.7671,4112356.0964,4188228.5846,119.3080,40.4460,119.2912,40.4580,-2370343.8924,4225430.3729,4131774.3715,-2370343.8924,4225430.3729,0.0000,119.2912,40.4580,5,4,5.1955,0.0000,2.3628,0.4672,0.4672,0.4672
amur10b                     ,120.9710,41.1290,122.6960,42.1780,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,184982.5992,-2468120.7671,4112356.0964,4188228.5846,-2548940.8547,3970993.1971,4275332.1519,121.8335,41.6535,121.8265,41.6568,-2508795.0464,4042096.2311,4232228.3653,-2508795.0464,4042096.2311,0.0000,121.8265,41.6568,5,4,4.6046,0.0000,3.3162,0.4759,0.4759,0.4759
amur11                      ,122.6960,42.1780,125.0370,40.1440,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,299357.9051,-2548940.8547,3970993.1971,4275332.1519,-2794425.1700,3985372.6339,4105160.7033,123.8665,41.1610,123.8846,41.1670,-2672410.5300,3979276.5688,4191411.6250,-2672410.5300,3979276.5688,0.0000,123.8846,41.1670,4,5,3.5690,0.0000,-4.4354,0.4268,0.4268,0.4268
amur12a                     ,125.0370,40.1440,126.0220,36.8400,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,376688.2219,-2794425.1700,3985372.6339,4105160.7033,-2996906.2186,4121558.5934,3817808.1852,125.5295,38.4920,125.5407,38.4933,-2896922.4265,4055231.7747,3963242.0024,-2896922.4265,4055231.7747,0.0000,125.5407,38.4933,4,5,1.1264,0.0000,-5.6612,0.4374,0.4374,0.4374
amur12b                     ,126.0220,36.8400,126.2650,34.2470,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,288537.2444,-2996906.2186,4121558.5934,3817808.1852,-3113441.1667,4243867.6047,3583353.6411,126.1435,35.5435,126.1455,35.5437,-3055954.6176,4183783.5681,3701546.6891,-3055954.6176,4183783.5681,0.0000,126.1455,35.5437,4,5,0.2533,0.0000,-5.8379,0.4403,0.4403,0.4403
amur2                       ,119.5000,57.3620,124.8630,57.1310,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,324698.5628,-1975356.7889,2835507.9897,5348103.5385,-1691056.4278,2988932.1173,5361992.5790,122.1815,57.2465,122.1899,57.2751,-1833794.1463,2913155.2790,5356778.5852,-1833794.1463,2913155.2790,0.0000,122.1899,57.2751,5,4,-4.9365,0.0000,0.5627,0.6670,0.6670,0.6670
amur3                       ,110.2870,56.0960,119.5000,57.3620,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,580809.6797,-1691056.4278,2988932.1173,5361992.5790,-1231483.2822,3331454.7283,5284809.3419,114.8935,56.7290,114.8159,56.8142,-1462779.8089,3163436.1220,5328911.5769,-1462779.8089,3163436.1220,0.0000,114.8159,56.8142,4,5,-4.8932,0.0000,-0.8750,0.7059,0.7059,0.7059
amur4a                      ,108.9120,54.8300,110.2870,56.0960,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,165614.4622,-1231483.2822,3331454.7283,5284809.3419,-1188750.8622,3469685.6872,5205046.0211,109.5995,55.4630,109.5885,55.4650,-1210219.1985,3400852.7134,5245371.4620,-1210219.1985,3400852.7134,0.0000,109.5885,55.4650,4,5,-3.3046,0.0000,-3.7804,0.7442,0.7442,0.7442
amur4b                      ,108.3620,53.2200,108.9120,54.8300,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,182789.3343,-1188750.8622,3469685.6872,5205046.0211,-1201002.8447,3618358.3061,5099943.8034,108.6370,54.0250,108.6317,54.0254,-1194998.7298,3544380.9615,5153027.5661,-1194998.7298,3544380.9615,0.0000,108.6317,54.0254,4,5,-1.8650,0.0000,-4.7405,0.6926,0.6926,0.6926
