lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,strike_slip_rate,dip_slip_rate
137.637,33.3413,0.0,137.752,33.3999,0.0,137.615,33.4789,-2.2460146,-2.127841332676998,1.6949304812767498
132.297,30.5282,-7.6542833,132.33,30.4195,-6.6666667,132.41,30.5381,-5.1652348,0.037599592869256626,-1.7600190958721673
132.33,30.4195,-6.6666667,132.297,30.5282,-7.6542833,132.178,30.436,-10.0,0.009958988433424798,-1.5022744196189217
132.297,30.5282,-7.6542833,132.195,30.5715,-10.0,132.178,30.436,-10.0,0.0013448531589641544,-2.6848208800604025
132.788,31.2775,-4.9254022,132.935,31.3066,-3.4288866,132.811,31.3955,-5.7539373,2.5903700620926795,-2.505535703913039
132.935,31.3066,-3.4288866,132.788,31.2775,-4.9254022,132.87,31.1848,-2.6591089,2.1082483542164936,-2.504073034988025
132.664,31.3702,-7.5482615,132.788,31.2775,-4.9254022,132.811,31.3955,-5.7539373,2.9828757208920456,-3.4092590332535337
133.789,31.9263,-3.7056374,133.776,32.0479,-7.0330262,133.647,31.945,-5.9791631,-2.1986904216317233,11.880735688505052
134.458,32.5694,-7.3571455,134.476,32.6962,-8.1886388,134.339,32.699,-10.0,-13.681061256821147,26.179256745796152
134.748,32.5453,-3.6769105,134.883,32.4746,-1.4920618,134.847,32.5963,-2.7409163,-7.8470437376828945,10.788109035084398
136.617,32.9642,-1.8515813,136.467,32.9296,-2.3557651,136.535,32.8407,0.0,-3.7347152938169446,3.8479732018490798
136.683,32.8966,0.0,136.617,32.9642,-1.8515813,136.535,32.8407,0.0,-2.4127159331603387,2.5208188208339513
137.106,33.0662,0.0,136.991,33.1493,-1.9826412,136.973,33.0169,0.0,-2.094978964418024,2.255901498128265
132.664,31.3702,-7.5482615,132.603,31.2565,-7.2004582,132.788,31.2775,-4.9254022,2.9033211200106703,-4.581807281323646
132.603,31.2565,-7.2004582,132.688,31.1515,-4.4547241,132.788,31.2775,-4.9254022,2.4170861339547516,-4.521230178000497
132.831,31.0104,0.0,132.71,31.0298,-2.3233299,132.776,30.9131,0.0,0.4919281193418813,-1.420044891929949
132.636,30.9176,-2.7724891,132.72,30.7854,0.0,132.776,30.9131,0.0,0.3722438732972103,-1.63866077937001
132.72,30.7854,0.0,132.636,30.9176,-2.7724891,132.541,30.7726,-3.5179775,0.4363439971851677,-2.518650345516905
132.876,31.6201,-7.1720434,132.836,31.7612,-10.0,132.756,31.6229,-8.4927546,3.2748674604886268,2.065972294095939
132.836,31.7612,-10.0,132.695,31.7015,-10.0,132.756,31.6229,-8.4927546,3.6573036617683354,2.1824548208150327
133.208,31.238,0.0,133.219,31.2488,0.0,133.163,31.284,-0.91063035,0.24400994501315648,-0.00608048293182184
133.262,31.3855,0.0,133.163,31.284,-0.91063035,133.219,31.2488,0.0,0.4081830299168409,0.11077812611219073
133.094,31.1611,0.0,133.208,31.238,0.0,133.163,31.284,-0.91063035,0.3159852402756971,-0.12156122736148833
133.163,31.284,-0.91063035,133.036,31.2431,-1.6106382,133.094,31.1611,0.0,0.6938540802770945,-0.34715025468969674
136.826,32.9607,0.0,136.973,33.0169,0.0,136.873,33.0946,-2.3962722,-2.327190731326705,2.511616803249682
136.873,33.0946,-2.3962722,136.746,33.0426,-2.2961115,136.826,32.9607,0.0,-3.578370956384261,3.8441469563146287
132.984,31.5299,-4.9496297,132.984,31.6535,-6.8058928,132.876,31.6201,-7.1720434,2.641108354837279,2.2679536778010725
134.709,32.2522,0.0,134.848,32.3208,0.0,134.728,32.3912,-2.1533578,-2.307281723077117,3.761943812070614
133.66,31.8223,-2.7734885,133.789,31.9263,-3.7056374,133.647,31.945,-5.9791631,-1.6443985353594814,9.839547100164825
134.627,33.022,-10.0,134.512,32.9285,-10.0,134.66,32.9281,-8.3832364,-20.481540258182605,28.571967119724874
134.512,32.9285,-10.0,134.572,32.7916,-7.9957555,134.66,32.9281,-8.3832364,-18.7243508748733,27.511313969866684
133.789,31.9263,-3.7056374,133.949,31.9922,-3.3149433,133.776,32.0479,-7.0330262,-2.269280935652516,10.86586696505882
133.9,31.8407,0.0,134.037,31.9116,0.0,133.949,31.9922,-3.3149433,-1.0580191823450262,4.7365865614389655
134.339,32.699,-10.0,134.281,32.572,-10.0,134.458,32.5694,-7.3571455,-12.48245423698379,26.103301481596766
136.746,33.0426,-2.2961115,136.617,32.9642,-1.8515813,136.683,32.8966,0.0,-3.458864420251884,3.6511697073200144
137.112,33.7263,-10.0,136.977,33.6496,-10.0,137.142,33.6013,-7.9712047,-14.057045449736385,14.028503183620975
136.878,33.2332,-4.4903772,136.991,33.1493,-1.9826412,137.039,33.2743,-3.9489243,-6.3313676102189085,6.799170338387642
133.086,31.3875,-2.5477505,132.984,31.5299,-4.9496297,132.941,31.4353,-4.6884757,2.3363225242483865,0.16098104855665696
132.666,30.6572,0.0,132.541,30.7726,-3.5179775,132.468,30.6666,-4.3067777,0.24664766075565114,-2.3466404713343207
132.541,30.7726,-3.5179775,132.666,30.6572,0.0,132.72,30.7854,0.0,0.2285393298728171,-1.64361165481527
132.603,31.2565,-7.2004582,132.521,31.1453,-7.043649,132.688,31.1515,-4.4547241,2.2661909957081834,-5.529224948766967
132.664,31.3702,-7.5482615,132.486,31.342,-10.0,132.603,31.2565,-7.2004582,3.227157596205296,-5.631776957363512
132.521,31.1453,-7.043649,132.61,31.0557,-4.4818304,132.688,31.1515,-4.4547241,1.7918312555607758,-5.187325444897732
132.61,31.0557,-4.4818304,132.521,31.1453,-7.043649,132.48,31.02,-6.7180443,1.6652953723310064,-5.815718259336299
