,name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,Unnamed: 38,centroid_lon,centroid_lat
26,arc1                        ,140.4,68.4,162.39,86.421,90.0,100,0,0,0,0,0,0,0,0,0.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,,151.39499999999998,77.41050000000001
27,arc2                        ,162.39,86.421,285.123,83.254,90.0,100,0,0,0,0,0,0,0,0,0.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,,223.7565,84.8375
28,arctic1a                    ,144.88,65.161,148.979,63.889,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,,146.92950000000002,64.525
29,arctic1b                    ,148.979,63.889,154.021,61.575,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,,151.5,62.732
30,arctic2a                    ,162.646,56.387,164.873,58.688,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,,163.7595,57.5375
31,arctic2b                    ,164.873,58.688,170.634,62.156,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,,167.75349999999997,60.422
32,arctic3                     ,154.021,61.575,170.634,62.156,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,,162.3275,61.8655
33,arctic_1a                   ,79.53,70.261,109.555,70.389,90.0,100,0,0,0,0,0,0,0,0,0.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,,94.5425,70.32499999999999
34,arctic_1b                   ,109.555,70.389,140.4,68.4,90.0,100,0,0,0,0,0,0,0,0,0.0,5,0,5,0,0,1,0,0.0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,,124.9775,69.3945
35,asddf                       ,140.808,42.375,140.497,42.22,90.0,100,0,0,0,0,0,0,0,0,5.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,140.6525,42.2975
36,asdf                        ,139.598,39.419,139.6,40.02,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,139.599,39.7195
37,asdf                        ,131.263,33.412,131.236,33.208,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,131.2495,33.31
38,atotsugawaa                 ,136.898,36.211,136.975,36.254,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,136.9365,36.2325
39,atotsugawabaa               ,136.975,36.254,137.097,36.303,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,137.036,36.278499999999994
40,atotsugawabab               ,137.097,36.303,137.267,36.371,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,137.18200000000002,36.337
41,atotsugawabba               ,137.267,36.371,137.537,36.466,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,137.402,36.4185
42,atotsugawabbb               ,137.537,36.466,137.843,36.562,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,137.69,36.513999999999996
43,aus-pac2                    ,185.84,-15.18,158.7,-59.8,90.0,100,0,0,0,0,0,0,0,0,0.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,0,1,0,0,,172.26999999999998,-37.489999999999995
44,beppu-schina                ,129.584,32.324,129.337,31.861,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,,129.4605,32.0925
45,beppu1a                     ,131.989,33.424,131.794,33.351,120.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0,1,0,0.0,1,0,0,1,0,15,5,0,0,0,0,1,0,0,,131.8915,33.3875
