,name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,Unnamed: 38,centroid_lon,centroid_lat
24,OWLaaaaabab                                                        ,230.885,50.702,231.263,50.488,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,231.074,50.595
25,OWLaaaaabb                                                         ,230.457,50.715,230.885,50.702,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,230.671,50.7085
26,OWLaaaaba                                                          ,233.029,49.55,233.53,49.299,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,233.27949999999998,49.424499999999995
27,OWLaaaabb                                                          ,233.53,49.299,234.031,49.049,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,233.78050000000002,49.174
28,OWLaaabaa                                                          ,234.031,49.049,234.914,48.682,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,234.4725,48.8655
29,OWLaaabab                                                          ,234.914,48.682,235.573,48.492,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,235.24349999999998,48.587
30,OWLaaabba                                                          ,235.573,48.492,236.204,48.468,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,235.88850000000002,48.480000000000004
31,OWLaaabbb                                                          ,236.204,48.468,236.934,48.328,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,236.56900000000002,48.398
32,OWLaab                                                             ,236.934,48.328,237.635,48.13,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,237.28449999999998,48.229
33,OWLaba                                                             ,237.635,48.13,238.156,47.782,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,237.8955,47.956
34,OWLabbaa                                                           ,238.156,47.782,238.525,47.133,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,238.34050000000002,47.457499999999996
35,OWLabbaba                                                          ,238.525,47.133,238.709,46.809,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,238.61700000000002,46.971000000000004
36,OWLabbabb                                                          ,238.709,46.809,238.894,46.485,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,238.8015,46.647
37,OWLbabaaa                                                          ,240.923,46.047,241.189,45.99,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,241.05599999999998,46.0185
