,name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,create_ribbon_mesh,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,ss_rate_bound_flag,ss_rate_bound_min,ss_rate_bound_max,ds_rate_bound_flag,ds_rate_bound_min,ds_rate_bound_max,ts_rate_bound_flag,ts_rate_bound_min,ts_rate_bound_max,x1,y1,z1,x2,y2,z2,length,azimuth,mid_lon_plate_carree,mid_lat_plate_carree,mid_lon,mid_lat,mid_x,mid_y,mid_z,centroid_x,centroid_y,centroid_z,centroid_lon,centroid_lat,west_labels,east_labels
29,arctic1b,148.979,63.889,154.021,61.575,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-2401584.5309994235,1444215.8499080732,5717602.975098708,-2724690.652575085,1327684.4323928377,5599791.635165605,364487.0720964767,132.74697681671228,151.5,62.732,151.59870499117642,62.75468041381379,-2564165.7020166717,1386514.1232964357,5661005.590883998,-2564165.7020166717,1386514.1232964357,7.5,151.59870499117642,62.75468041381379,7,2
30,arctic2a,162.646,56.387,164.873,58.688,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-3364440.5477934643,1051386.0832555657,5302780.267540675,-3194485.840944657,863553.5976761983,5440026.365511809,288857.819964889,26.56146820185199,163.7595,57.5375,163.72441138449713,57.542510422513516,-3280293.508532219,957708.0320652272,5372785.244611788,-3280293.508532219,957708.0320652272,7.5,163.72441138449713,57.54251042251352,7,2
31,arctic2b,164.873,58.688,170.634,62.156,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-3194485.840944657,863553.5976761983,5440026.365511809,-2934368.8316353657,483992.77339773515,5630238.184725818,499642.69273579714,36.91806100691017,167.75349999999997,60.422,167.5999810137023,60.45327605404606,-3066748.878270563,674269.5362970118,5539382.941408463,-3066748.878270563,674269.5362970118,7.5,167.5999810137023,60.45327605404606,7,2
32,arctic3,154.021,61.575,170.634,62.156,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-2724690.652575085,1327684.4323928377,5599791.635165605,-2934368.8316353657,483992.77339773515,5630238.184725818,874300.6430330619,78.45777138339665,162.3275,61.8655,162.2483003041291,62.11637752443366,-2836120.660356958,907942.136998976,5628180.179887381,-2836120.660356958,907942.136998976,7.5,162.2483003041291,62.11637752443366,2,7
33,arctic_1a,79.53,70.261,109.555,70.389,90.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,390793.0999012554,2114709.7387466556,5993299.169525799,-715319.1033127261,2013853.0982381215,5998088.50723892,1117312.3478313882,75.1193706244101,94.5425,70.32499999999999,94.49453416037701,70.94779464142033,-162881.28168411032,2072130.1474720074,6018645.844501369,-162881.28168411032,2072130.1474720074,0.0,94.49453416037701,70.94779464142033,6,4
34,arctic_1b,109.555,70.389,140.4,68.4,90.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-715319.1033127261,2013853.0982381215,5998088.50723892,-1806092.8390266465,1494129.9375485263,5920300.317387364,1218175.1478047452,85.64677224149628,124.9775,69.3945,125.70661533770453,70.07626596369701,-1266387.4394102942,1761935.2860095885,5986334.300950554,-1266387.4394102942,1761935.2860095885,0.0,125.70661533770453,70.07626596369701,4,6
35,asddf,140.497,42.22,140.808,42.375,90.0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,6,1,0,0,0,-1,1,0,-1,1,0,-1,1,-3645712.4891865165,2972523.014232589,4291531.059839375,-3638468.742247453,2999642.1536836075,4278789.9718321785,30889.486277347332,56.02050395153035,140.6525,42.2975,140.65230933001018,42.297605949990675,-3642101.269756894,2986091.2442785534,4285173.145066275,-3642101.269756894,2986091.2442785534,2.5,140.65230933001018,42.297605949990675,0,8
36,asdf,139.598,39.419,139.6,40.02,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,9,1,0,0,0,-1,1,0,-1,1,0,-1,1,-3745893.9290189436,3188231.089694266,4043242.8387081763,-3713501.8925761697,3160437.8340456802,4094616.935988625,66728.79901973857,0.14660460302299533,139.599,39.7195,139.5989956600023,39.71950780445749,-3729748.7872899603,3174377.760754349,4068986.5172123993,-3729748.7872899603,3174377.760754349,7.5,139.5989956600023,39.719507804457486,9,1
37,asdf,131.236,33.208,131.263,33.412,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,14,1,0,0,0,-1,1,0,-1,1,0,-1,1,-3505404.331334514,3995318.5359282577,3506268.918929112,-3511727.928804994,4006332.578083076,3487322.4240612197,22764.918874869876,6.33382259738648,131.2495,33.31,131.24948428111452,33.31000157188801,-3508571.7291259808,4000831.931199643,3496801.358583338,-3508571.7291259808,4000831.931199643,7.5,131.24948428111452,33.31000157188801,5,10
38,atotsugawaa,136.898,36.211,136.975,36.254,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,15,1,0,0,0,-1,1,0,-1,1,0,-1,1,-3751124.8875996885,3510486.1946485094,3761635.311447864,-3753774.3694927157,3503514.6554476437,3765489.94202908,8407.310986013274,55.39890977377845,136.9365,36.2325,136.93648946004765,36.23250623276683,-3752450.443603722,3507001.181121545,3763563.4504322275,-3752450.443603722,3507001.181121545,7.5,136.93648946004765,36.23250623276683,5,11
39,atotsugawabaa,136.975,36.254,137.097,36.303,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,15,1,0,0,0,-1,1,0,-1,1,0,-1,1,-3753774.3694927157,3503514.6554476437,3765489.94202908,-3758865.633141539,3493320.2811359297,3769879.842503055,12235.632359248893,63.580375472287756,137.036,36.278499999999994,137.03598093798269,36.27851560746891,-3756321.727645161,3498419.065871806,3767686.6349903,-3756321.727645161,3498419.065871806,7.5,137.03598093798269,36.27851560746891,5,11
40,atotsugawabab,137.097,36.303,137.267,36.371,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,15,1,0,0,0,-1,1,0,-1,1,0,-1,1,-3758865.633141539,3493320.2811359297,3769879.842503055,-3765924.9139925195,3479113.5862492477,3775967.3803762323,17025.738831500596,63.64206376525214,137.18200000000002,36.337,137.1819630594722,36.33703032313958,-3762398.6214270773,3486220.016086554,3772926.990340538,-3762398.6214270773,3486220.016086554,7.5,137.1819630594722,36.33703032313959,5,11
41,atotsugawabba,137.267,36.371,137.537,36.466,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,15,1,0,0,0,-1,1,0,-1,1,0,-1,1,-3765924.9139925195,3479113.5862492477,3775967.3803762323,-3777654.1089564846,3457097.0159499617,3784463.1213572514,26410.078229399645,66.39423820070024,137.402,36.4185,137.4019177888358,36.41857650141695,-3771797.5837521194,3468112.679853899,3780223.3913562964,-3771797.5837521194,3468112.679853899,7.5,137.4019177888358,36.41857650141696,5,11
42,atotsugawabbb,137.537,36.466,137.843,36.562,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,15,1,0,0,0,-1,1,0,-1,1,0,-1,1,-3777654.1089564846,3457097.0159499617,3784463.1213572514,-3791357.57927,3432611.8344826135,3793037.7221167795,29407.30798410004,68.67019871192622,137.69,36.513999999999996,137.68990551662108,36.514098311523725,-3784515.8826445737,3444863.5131309396,3788760.532341565,-3784515.8826445737,3444863.5131309396,7.5,137.68990551662108,36.51409831152372,5,11
43,aus-pac2,158.7,-59.8,185.84,-15.18,90.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-6113377.027495657,-625286.4777254441,-1667330.0818917302,-2984161.974807191,1163476.135853014,-5503221.969985801,5423522.667612393,35.87599287987717,172.26999999999998,-37.489999999999995,176.60127853006642,-38.23976356850629,-4992370.003670829,296489.6344208498,-3941153.0171572543,-4992370.003670829,296489.6344208498,0.0,176.60127853006642,-38.2397635685063,6,3
