,Unnamed: 0,name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,centroid_lon,centroid_lat
24,24,1939                                                                ,39.569,39.742,39.867,39.61,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,39.718,39.676
25,25,1942                                                                ,36.285,40.817,36.374,40.706,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,36.329499999999996,40.7615
26,26,1942                                                                ,36.684,40.581,36.374,40.706,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,36.528999999999996,40.6435
27,27,1943                                                                ,34.147,41.097,35.374,41.086,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,34.7605,41.091499999999996
28,28,1943                                                                ,35.374,41.086,36.285,40.817,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,35.829499999999996,40.951499999999996
29,29,1943                                                                ,33.153,40.952,34.147,41.097,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,33.65,41.0245
30,30,1944                                                                ,31.532,40.67,32.339,40.815,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,31.935499999999998,40.7425
31,31,1944                                                                ,32.339,40.815,32.704,40.883,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,32.5215,40.849000000000004
32,32,1949                                                                ,40.563,39.42,41.07,39.352,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,40.816500000000005,39.385999999999996
33,33,1951                                                                ,32.704,40.883,33.153,40.952,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,32.9285,40.917500000000004
34,34,1953                                                                ,27.414,39.939,27.738,40.085,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,27.576,40.012
35,35,1953                                                                ,27.738,40.085,27.911,40.101,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,27.8245,40.093
36,36,1957                                                                ,31.185,40.588,31.532,40.67,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,31.3585,40.629000000000005
